timestamp,sensor_id,value,unit
2026-03-24 15:03:41.902,temp_1,24.035456,C
2026-03-24 15:03:41.903,temp_3,81.999751,C
2026-03-24 15:03:41.903,temp_2,55.010936,C
2026-03-24 15:03:41.903,curr_1,1.018514,A
2026-03-24 15:03:41.903,curr_2,2.300749,A
2026-03-24 15:03:41.903,curr_3,4.137966,A
2026-03-24 15:03:41.903,speed_2,0.004814,m/s
2026-03-24 15:03:41.903,speed_1,0.008668,m/s
2026-03-24 15:03:41.903,speed_3,0.062341,m/s
2026-03-24 15:03:41.903,vib_1,0.086285,mm/s
2026-03-24 15:03:41.904,vib_2,0.281796,mm/s
2026-03-24 15:03:41.904,vib_3,0.236630,mm/s
2026-03-24 15:03:41.904,press_3,8.001004,bar
2026-03-24 15:03:41.904,hum_1,31.017225,%
2026-03-24 15:03:41.904,press_2,5.501997,bar
2026-03-24 15:03:41.905,press_1,2.996748,bar
2026-03-24 15:03:41.905,hum_2,62.245586,%
2026-03-24 15:03:41.905,hum_3,85.880466,%
2026-03-24 15:03:41.905,sq_1,0.992793,state
2026-03-24 15:03:41.905,sq_3,1.000000,state
2026-03-24 15:03:41.905,sq_2,1.001724,state
2026-03-24 15:03:41.905,ramp_1,-0.032274,%
2026-03-24 15:03:41.906,ramp_3,5.005960,%
2026-03-24 15:03:41.906,ramp_2,9.999001,%
2026-03-24 15:03:41.906,step_1,19.995785,C
2026-03-24 15:03:41.906,step_2,30.041727,C
2026-03-24 15:03:41.906,step_3,15.000000,C
2026-03-24 15:03:41.906,vib_3,1.573291,mm/s
2026-03-24 15:03:41.909,vib_3,1.251728,mm/s
2026-03-24 15:03:41.909,vib_2,0.921619,mm/s
2026-03-24 15:03:41.911,vib_3,0.835197,mm/s
2026-03-24 15:03:41.913,vib_3,0.143103,mm/s
2026-03-24 15:03:41.913,curr_3,3.859348,A
2026-03-24 15:03:41.914,vib_1,0.425845,mm/s
2026-03-24 15:03:41.914,vib_2,0.332247,mm/s
2026-03-24 15:03:41.915,vib_3,-0.504798,mm/s
2026-03-24 15:03:41.917,vib_3,-1.210225,mm/s
2026-03-24 15:03:41.919,vib_2,-0.414312,mm/s
2026-03-24 15:03:41.920,vib_3,-1.890237,mm/s
2026-03-24 15:03:41.922,vib_3,-0.528697,mm/s
2026-03-24 15:03:41.923,curr_2,2.337784,A
2026-03-24 15:03:41.924,curr_3,4.226284,A
2026-03-24 15:03:41.924,vib_1,0.006960,mm/s
2026-03-24 15:03:41.924,vib_3,1.369785,mm/s
2026-03-24 15:03:41.925,vib_2,-1.160635,mm/s
2026-03-24 15:03:41.926,vib_3,1.422879,mm/s
2026-03-24 15:03:41.928,vib_3,0.973440,mm/s
2026-03-24 15:03:41.930,vib_2,0.270439,mm/s
2026-03-24 15:03:41.931,vib_3,0.412003,mm/s
2026-03-24 15:03:41.933,vib_3,-0.327819,mm/s
2026-03-24 15:03:41.934,curr_3,3.910751,A
2026-03-24 15:03:41.934,vib_1,-0.483644,mm/s
2026-03-24 15:03:41.935,vib_2,0.944464,mm/s
2026-03-24 15:03:41.935,vib_3,-0.912380,mm/s
2026-03-24 15:03:41.937,vib_3,-1.805755,mm/s
2026-03-24 15:03:41.940,vib_3,-1.223038,mm/s
2026-03-24 15:03:41.940,vib_2,0.338029,mm/s
2026-03-24 15:03:41.942,vib_3,0.910142,mm/s
2026-03-24 15:03:41.944,curr_2,2.373904,A
2026-03-24 15:03:41.944,curr_3,4.176022,A
2026-03-24 15:03:41.944,vib_1,0.045100,mm/s
2026-03-24 15:03:41.944,vib_3,1.560822,mm/s
2026-03-24 15:03:41.946,vib_2,-0.396217,mm/s
2026-03-24 15:03:41.946,vib_3,1.101215,mm/s
2026-03-24 15:03:41.949,vib_3,0.651044,mm/s
2026-03-24 15:03:41.951,vib_3,-0.113468,mm/s
2026-03-24 15:03:41.951,vib_2,-1.217786,mm/s
2026-03-24 15:03:41.953,curr_1,0.995782,A
2026-03-24 15:03:41.953,vib_3,-0.683636,mm/s
2026-03-24 15:03:41.954,speed_3,0.065043,m/s
2026-03-24 15:03:41.954,curr_3,4.013001,A
2026-03-24 15:03:41.954,vib_1,0.394898,mm/s
2026-03-24 15:03:41.955,sq_3,1.000000,state
2026-03-24 15:03:41.955,vib_3,-1.539502,mm/s
2026-03-24 15:03:41.956,vib_2,0.276148,mm/s
2026-03-24 15:03:41.958,vib_3,-1.701723,mm/s
2026-03-24 15:03:41.960,vib_3,0.236630,mm/s
2026-03-24 15:03:41.961,vib_2,0.976814,mm/s
2026-03-24 15:03:41.962,vib_3,1.573291,mm/s
2026-03-24 15:03:41.964,curr_2,2.409133,A
2026-03-24 15:03:41.964,vib_3,1.251728,mm/s
2026-03-24 15:03:41.965,curr_3,4.368777,A
2026-03-24 15:03:41.965,vib_1,-0.018074,mm/s
2026-03-24 15:03:41.967,vib_3,0.835197,mm/s
2026-03-24 15:03:41.967,vib_2,0.327397,mm/s
2026-03-24 15:03:41.969,vib_3,0.143103,mm/s
2026-03-24 15:03:41.972,vib_3,-0.504798,mm/s
2026-03-24 15:03:41.972,vib_2,-0.421430,mm/s
2026-03-24 15:03:41.974,vib_3,-1.210225,mm/s
2026-03-24 15:03:41.975,curr_3,4.100699,A
2026-03-24 15:03:41.975,vib_1,-0.494891,mm/s
2026-03-24 15:03:41.976,vib_3,-1.890237,mm/s
2026-03-24 15:03:41.978,vib_2,-1.149433,mm/s
2026-03-24 15:03:41.979,vib_3,-0.528697,mm/s
2026-03-24 15:03:41.981,vib_3,1.369785,mm/s
2026-03-24 15:03:41.983,vib_2,0.328673,mm/s
2026-03-24 15:03:41.983,vib_3,1.422879,mm/s
2026-03-24 15:03:41.984,curr_2,2.443492,A
2026-03-24 15:03:41.985,curr_3,4.395699,A
2026-03-24 15:03:41.985,vib_1,0.046599,mm/s
2026-03-24 15:03:41.985,vib_3,0.973440,mm/s
2026-03-24 15:03:41.988,vib_3,0.412003,mm/s
2026-03-24 15:03:41.988,vib_2,0.995378,mm/s
2026-03-24 15:03:41.990,vib_3,-0.327819,mm/s
